Date (UTC),Type,From account / from category,From subcategory,To account / to category,To subcategory,Amount 1,Currency 1,Amount 2,Currency 2,Commission,Commission currency,Tax,Tax currency,Comment
2024-10-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2024-11-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2024-11-01T17:00:00.000Z,Expense,Primary Account,,Food,,179959,IDR,179959,IDR,,,,,Snack
2024-11-01T17:00:00.000Z,Expense,Primary Account,,Health,,64579,IDR,64579,IDR,,,,,Vitamins
2024-11-01T17:00:00.000Z,Expense,Primary Account,,Personal Care,,123219,IDR,123219,IDR,,,,,Soap
2024-11-01T17:00:00.000Z,Expense,Primary Account,,Bills,,44931,IDR,44931,IDR,,,,,Internet
2024-11-01T17:00:00.000Z,Expense,Primary Account,,Others,,112278,IDR,112278,IDR,,,,,Random purchase
2024-11-01T17:00:00.000Z,Expense,Primary Account,,Personal Care,,154049,IDR,154049,IDR,,,,,Shampoo
2024-11-04T17:00:00.000Z,Expense,Primary Account,,Others,,129547,IDR,129547,IDR,,,,,Random purchase
2024-11-05T17:00:00.000Z,Expense,Primary Account,,Groceries,,159719,IDR,159719,IDR,,,,,Indomaret
2024-11-06T17:00:00.000Z,Expense,Primary Account,,Transport,,17068,IDR,17068,IDR,,,,,Gojek
2024-11-08T17:00:00.000Z,Expense,Primary Account,,Bills,,13402,IDR,13402,IDR,,,,,Water
2024-11-08T17:00:00.000Z,Expense,Primary Account,,Transport,,46876,IDR,46876,IDR,,,,,Gojek
2024-11-08T17:00:00.000Z,Expense,Primary Account,,Groceries,,117719,IDR,117719,IDR,,,,,Alfamart
2024-11-09T17:00:00.000Z,Expense,Primary Account,,Others,,164232,IDR,164232,IDR,,,,,Misc
2024-11-09T17:00:00.000Z,Expense,Primary Account,,Food,,113827,IDR,113827,IDR,,,,,Snack
2024-11-09T17:00:00.000Z,Expense,Primary Account,,Health,,15183,IDR,15183,IDR,,,,,Medicine
2024-11-10T17:00:00.000Z,Expense,Primary Account,,Transport,,117750,IDR,117750,IDR,,,,,Busway
2024-11-12T17:00:00.000Z,Expense,Primary Account,,Entertainment,,190065,IDR,190065,IDR,,,,,Netflix
2024-11-12T17:00:00.000Z,Expense,Primary Account,,Food,,150223,IDR,150223,IDR,,,,,Snack
2024-11-13T17:00:00.000Z,Expense,Primary Account,,Others,,6060,IDR,6060,IDR,,,,,Misc
2024-11-13T17:00:00.000Z,Expense,Primary Account,,Food,,17373,IDR,17373,IDR,,,,,Dinner
2024-11-14T17:00:00.000Z,Expense,Primary Account,,Personal Care,,40803,IDR,40803,IDR,,,,,Skincare
2024-11-16T17:00:00.000Z,Expense,Primary Account,,Transport,,46795,IDR,46795,IDR,,,,,Busway
2024-11-16T17:00:00.000Z,Expense,Primary Account,,Transport,,103939,IDR,103939,IDR,,,,,Fuel
2024-11-18T17:00:00.000Z,Expense,Primary Account,,Personal Care,,132078,IDR,132078,IDR,,,,,Soap
2024-11-18T17:00:00.000Z,Expense,Primary Account,,Personal Care,,113893,IDR,113893,IDR,,,,,Soap
2024-11-19T17:00:00.000Z,Expense,Primary Account,,Transport,,198813,IDR,198813,IDR,,,,,Busway
2024-11-21T17:00:00.000Z,Expense,Primary Account,,Transport,,168710,IDR,168710,IDR,,,,,Fuel
2024-11-21T17:00:00.000Z,Expense,Primary Account,,Groceries,,95445,IDR,95445,IDR,,,,,Indomaret
2024-11-21T17:00:00.000Z,Expense,Primary Account,,Personal Care,,8124,IDR,8124,IDR,,,,,Shampoo
2024-11-25T17:00:00.000Z,Expense,Primary Account,,Groceries,,186977,IDR,186977,IDR,,,,,Alfamart
2024-11-26T17:00:00.000Z,Expense,Primary Account,,Health,,97352,IDR,97352,IDR,,,,,Medicine
2024-11-26T17:00:00.000Z,Expense,Primary Account,,Entertainment,,23247,IDR,23247,IDR,,,,,Netflix
2024-11-28T17:00:00.000Z,Expense,Primary Account,,Personal Care,,129428,IDR,129428,IDR,,,,,Skincare
2024-11-28T17:00:00.000Z,Expense,Primary Account,,Others,,143079,IDR,143079,IDR,,,,,Random purchase
2024-11-28T17:00:00.000Z,Expense,Primary Account,,Health,,181305,IDR,181305,IDR,,,,,Vitamins
2024-11-29T17:00:00.000Z,Expense,Primary Account,,Bills,,151698,IDR,151698,IDR,,,,,Internet
2024-11-30T17:00:00.000Z,Expense,Primary Account,,Food,,7358,IDR,7358,IDR,,,,,Coffee
2024-12-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2024-12-03T17:00:00.000Z,Expense,Primary Account,,Groceries,,139070,IDR,139070,IDR,,,,,Indomaret
2024-12-03T17:00:00.000Z,Expense,Primary Account,,Transport,,186674,IDR,186674,IDR,,,,,Fuel
2024-12-05T17:00:00.000Z,Expense,Primary Account,,Personal Care,,95446,IDR,95446,IDR,,,,,Shampoo
2024-12-05T17:00:00.000Z,Expense,Primary Account,,Personal Care,,87029,IDR,87029,IDR,,,,,Skincare
2024-12-07T17:00:00.000Z,Expense,Primary Account,,Food,,121442,IDR,121442,IDR,,,,,Lunch
2024-12-07T17:00:00.000Z,Expense,Primary Account,,Groceries,,43946,IDR,43946,IDR,,,,,Supermarket
2024-12-08T17:00:00.000Z,Expense,Primary Account,,Groceries,,113643,IDR,113643,IDR,,,,,Alfamart
2024-12-09T17:00:00.000Z,Expense,Primary Account,,Groceries,,34820,IDR,34820,IDR,,,,,Indomaret
2024-12-09T17:00:00.000Z,Expense,Primary Account,,Bills,,61715,IDR,61715,IDR,,,,,Internet
2024-12-10T17:00:00.000Z,Expense,Primary Account,,Health,,77458,IDR,77458,IDR,,,,,Medicine
2024-12-11T17:00:00.000Z,Expense,Primary Account,,Health,,58888,IDR,58888,IDR,,,,,Checkup
2024-12-12T17:00:00.000Z,Expense,Primary Account,,Entertainment,,175588,IDR,175588,IDR,,,,,Movie
2024-12-13T17:00:00.000Z,Expense,Primary Account,,Health,,186996,IDR,186996,IDR,,,,,Medicine
2024-12-13T17:00:00.000Z,Expense,Primary Account,,Bills,,162492,IDR,162492,IDR,,,,,Electricity
2024-12-14T17:00:00.000Z,Expense,Primary Account,,Others,,39650,IDR,39650,IDR,,,,,Misc
2024-12-14T17:00:00.000Z,Expense,Primary Account,,Bills,,48149,IDR,48149,IDR,,,,,Internet
2024-12-17T17:00:00.000Z,Expense,Primary Account,,Food,,28594,IDR,28594,IDR,,,,,Jajanan
2024-12-18T17:00:00.000Z,Expense,Primary Account,,Health,,110670,IDR,110670,IDR,,,,,Vitamins
2024-12-19T17:00:00.000Z,Expense,Primary Account,,Others,,166634,IDR,166634,IDR,,,,,Random purchase
2024-12-20T17:00:00.000Z,Expense,Primary Account,,Personal Care,,74237,IDR,74237,IDR,,,,,Soap
2024-12-21T17:00:00.000Z,Expense,Primary Account,,Entertainment,,73571,IDR,73571,IDR,,,,,Spotify
2024-12-23T17:00:00.000Z,Expense,Primary Account,,Groceries,,116246,IDR,116246,IDR,,,,,Supermarket
2024-12-23T17:00:00.000Z,Expense,Primary Account,,Groceries,,65804,IDR,65804,IDR,,,,,Alfamart
2024-12-25T17:00:00.000Z,Expense,Primary Account,,Health,,49772,IDR,49772,IDR,,,,,Checkup
2024-12-26T17:00:00.000Z,Expense,Primary Account,,Transport,,149151,IDR,149151,IDR,,,,,Gojek
2024-12-26T17:00:00.000Z,Expense,Primary Account,,Bills,,29525,IDR,29525,IDR,,,,,Water
2024-12-27T17:00:00.000Z,Expense,Primary Account,,Transport,,155967,IDR,155967,IDR,,,,,Grab
2024-12-28T17:00:00.000Z,Expense,Primary Account,,Personal Care,,124789,IDR,124789,IDR,,,,,Shampoo
2024-12-29T17:00:00.000Z,Expense,Primary Account,,Health,,146528,IDR,146528,IDR,,,,,Medicine
2024-12-30T17:00:00.000Z,Expense,Primary Account,,Food,,131428,IDR,131428,IDR,,,,,Lunch
2024-12-31T17:00:00.000Z,Expense,Primary Account,,Bills,,137365,IDR,137365,IDR,,,,,Electricity
2024-12-31T17:00:00.000Z,Expense,Primary Account,,Health,,56127,IDR,56127,IDR,,,,,Checkup
2024-12-31T17:00:00.000Z,Expense,Primary Account,,Groceries,,72745,IDR,72745,IDR,,,,,Alfamart
2025-01-01T17:00:00.000Z,Expense,Primary Account,,Transport,,56713,IDR,56713,IDR,,,,,Grab
2025-01-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2025-01-02T17:00:00.000Z,Expense,Primary Account,,Groceries,,125472,IDR,125472,IDR,,,,,Indomaret
2025-01-03T17:00:00.000Z,Expense,Primary Account,,Food,,126206,IDR,126206,IDR,,,,,Dinner
2025-01-04T17:00:00.000Z,Expense,Primary Account,,Entertainment,,33330,IDR,33330,IDR,,,,,Movie
2025-01-06T17:00:00.000Z,Expense,Primary Account,,Transport,,196898,IDR,196898,IDR,,,,,Gojek
2025-01-07T17:00:00.000Z,Expense,Primary Account,,Entertainment,,32689,IDR,32689,IDR,,,,,Spotify
2025-01-08T17:00:00.000Z,Expense,Primary Account,,Health,,101167,IDR,101167,IDR,,,,,Checkup
2025-01-10T17:00:00.000Z,Expense,Primary Account,,Others,,30326,IDR,30326,IDR,,,,,Random purchase
2025-01-10T17:00:00.000Z,Expense,Primary Account,,Food,,62733,IDR,62733,IDR,,,,,Dinner
2025-01-10T17:00:00.000Z,Expense,Primary Account,,Personal Care,,50753,IDR,50753,IDR,,,,,Soap
2025-01-11T17:00:00.000Z,Expense,Primary Account,,Personal Care,,176135,IDR,176135,IDR,,,,,Skincare
2025-01-11T17:00:00.000Z,Expense,Primary Account,,Bills,,146786,IDR,146786,IDR,,,,,Water
2025-01-11T17:00:00.000Z,Expense,Primary Account,,Bills,,89562,IDR,89562,IDR,,,,,Electricity
2025-01-12T17:00:00.000Z,Expense,Primary Account,,Personal Care,,75292,IDR,75292,IDR,,,,,Shampoo
2025-01-13T17:00:00.000Z,Expense,Primary Account,,Groceries,,41871,IDR,41871,IDR,,,,,Alfamart
2025-01-14T17:00:00.000Z,Expense,Primary Account,,Health,,119401,IDR,119401,IDR,,,,,Checkup
